"vaccine","geography_type","geography","year_season","dimension_type","dimension","coverage_estimate","population_sample_size"
"Seasonal Influenza","States","Tennessee","2013-14","Marital Status","Married","75.8","14537"
"Seasonal Influenza","States","Tennessee","2012-13","Marital Status","Married","76.5","14308"
"Seasonal Influenza","States","Tennessee","2011-12","Marital Status","Married","77.7","13600"
"Seasonal Influenza","States","Tennessee","2010-11","Marital Status","Married","75.7","13292"
"Seasonal Influenza","States","Tennessee","2011-12","Sex","Female","80.9","36923"
"Seasonal Influenza","States","Tennessee","2011-12","Age","18-24 Years","67.5","40"
"Seasonal Influenza","States","Tennessee","2017-18","Age","18-24 Years","52.6","57"
"Seasonal Influenza","States","Tennessee","2020-21","Marital Status","Separated","66.3","564"
"Seasonal Influenza","States","Tennessee","2019-20","Marital Status","Separated","62.8","689"
"Seasonal Influenza","States","Tennessee","2018-19","Marital Status","Separated","61.8","759"
"Seasonal Influenza","States","Tennessee","2017-18","Marital Status","Separated","67.0","682"
"Seasonal Influenza","States","Tennessee","2016-17","Marital Status","Separated","66.8","666"
"Seasonal Influenza","States","Tennessee","2015-16","Marital Status","Separated","66.9","686"
"Seasonal Influenza","States","Tennessee","2012-13","Marital Status","Divorced","75.7","7197"
"Seasonal Influenza","States","Tennessee","2011-12","Marital Status","Divorced","76.2","6671"
"Seasonal Influenza","States","Tennessee","2010-11","Marital Status","Divorced","74.3","6385"
"Seasonal Influenza","States","Tennessee","2009-10","Marital Status","Divorced","78.4","5252"
"Seasonal Influenza","States","Tennessee","2008-09","Marital Status","Divorced","78.6","5171"
"Seasonal Influenza","States","Tennessee","2007-08","Marital Status","Divorced","77.3","4758"
"Seasonal Influenza","States","Tennessee","2006-07","Marital Status","Divorced","74.1","4636"
"Seasonal Influenza","States","Tennessee","2014-15","Sex","Female","77.5","37605"
"Seasonal Influenza","States","Tennessee","2013-14","Sex","Female","78.6","36814"
"Seasonal Influenza","States","Tennessee","2012-13","Sex","Female","79.4","37616"
"Seasonal Influenza","States","Tennessee","2013-14","All Residents",">=18 Years","77.5","56090"
"Seasonal Influenza","States","Tennessee","2014-15","All Residents",">=18 Years","76.2","57839"
"Pneumococcal","States","Tennessee","2011","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","80.0","25"
"Pneumococcal","States","Tennessee","2010","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","66.7","27"
"Pneumococcal","States","Tennessee","2009","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","76.9","52"
"Pneumococcal","States","Tennessee","2008","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","80.5","41"
"Pneumococcal","States","Tennessee","2007","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","74.5","51"
"Pneumococcal","States","Tennessee","2006","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","64.6","79"
"Pneumococcal","States","Tennessee","2020","Marital Status","Widowed","71.1","26594"
"Seasonal Influenza","States","Tennessee","2005-06","Marital Status","Divorced","71.8","4484"
"Seasonal Influenza","States","Tennessee","2008-09","Sex","Male","78.9","17167"
"Seasonal Influenza","States","Tennessee","2007-08","Sex","Male","77.0","16489"
"Seasonal Influenza","States","Tennessee","2006-07","Sex","Male","74.2","16488"
"Seasonal Influenza","States","Tennessee","2018-19","All Residents",">=18 Years","72.9","57860"
"Seasonal Influenza","States","Tennessee","2017-18","All Residents",">=18 Years","73.4","58038"
"Seasonal Influenza","States","Tennessee","2016-17","All Residents",">=18 Years","74.4","57981"
"Seasonal Influenza","States","Tennessee","2015-16","All Residents",">=18 Years","75.4","57854"
"Seasonal Influenza","States","Tennessee","2019-20","All Residents",">=18 Years","72.6","57405"
"Pneumococcal","States","Tennessee","2018","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","63.0","54"
"Seasonal Influenza","States","Tennessee","2020-21","All Residents",">=18 Years","72.1","48366"
"Pneumococcal","States","Tennessee","2017","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","71.7","46"
"Pneumococcal","States","Tennessee","2016","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","83.3","36"
"Pneumococcal","States","Tennessee","2015","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","72.4","29"
"Pneumococcal","States","Tennessee","2014","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","72.7","22"
"Pneumococcal","States","Tennessee","2013","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","86.4","22"
"Pneumococcal","States","Tennessee","2012","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","70.4","27"
"Seasonal Influenza","States","Tennessee","2008-09","Age","18-24 Years","69.7","66"
"Seasonal Influenza","States","Tennessee","2007-08","Age","18-24 Years","63.2","57"
"Seasonal Influenza","States","Tennessee","2006-07","Age","18-24 Years","52.1","73"
"Seasonal Influenza","States","Tennessee","2005-06","Age","18-24 Years","51.4","72"
"Seasonal Influenza","States","Tennessee","2015-16","Sex","Female","76.7","37350"
"Seasonal Influenza","States","Tennessee","2016-17","Sex","Female","75.9","36708"
"Pneumococcal","States","Tennessee","2020","Race and Ethnicity","Asian, Non-Hispanic","59.5","126"
"Pneumococcal","States","Tennessee","2006","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","47.2","127"
"Pneumococcal","States","Tennessee","2019","Race and Ethnicity","Asian, Non-Hispanic","57.0","149"
"Pneumococcal","States","Tennessee","2018","Race and Ethnicity","Asian, Non-Hispanic","62.8","180"
"Pneumococcal","States","Tennessee","2015","Race and Ethnicity","Asian, Non-Hispanic","60.2","133"
"Pneumococcal","States","Tennessee","2017","Race and Ethnicity","Asian, Non-Hispanic","57.8","166"
"Pneumococcal","States","Tennessee","2016","Race and Ethnicity","Asian, Non-Hispanic","63.3","147"
"Seasonal Influenza","States","Tennessee","2010-11","Age","18-24 Years","54.9","51"
"Seasonal Influenza","States","Tennessee","2009-10","Age","18-24 Years","61.4","57"
"Seasonal Influenza","States","Tennessee","2010-11","Marital Status","Widowed","79.8","26185"
"Seasonal Influenza","States","Tennessee","2009-10","Marital Status","Widowed","83.8","22930"
"Seasonal Influenza","States","Tennessee","2008-09","Marital Status","Widowed","84.7","22906"
"Seasonal Influenza","States","Tennessee","2007-08","Marital Status","Widowed","83.3","23158"
"Seasonal Influenza","States","Tennessee","2006-07","Marital Status","Widowed","80.9","23660"
"Seasonal Influenza","States","Tennessee","2020-21","Marital Status","Divorced","71.5","7924"
"Seasonal Influenza","States","Tennessee","2005-06","Marital Status","Widowed","77.1","23784"
"Seasonal Influenza","States","Tennessee","2012-13","Sex","Male","76.1","18900"
"Seasonal Influenza","States","Tennessee","2011-12","Sex","Male","77.0","17795"
"Seasonal Influenza","States","Tennessee","2010-11","Sex","Male","74.8","17612"
"Seasonal Influenza","States","Tennessee","2009-10","Sex","Male","78.1","17662"
"Seasonal Influenza","States","Tennessee","2020-21","Age","18-24 Years","52.5","40"
"Seasonal Influenza","States","Tennessee","2005-06","Age","25-44 Years","59.3","973"
"Seasonal Influenza","States","Tennessee","2019-20","Age","18-24 Years","45.8","59"
"Seasonal Influenza","States","Tennessee","2018-19","Age","18-24 Years","57.8","45"
"Seasonal Influenza","States","Tennessee","2019-20","Marital Status","Divorced","71.2","8927"
"Seasonal Influenza","States","Tennessee","2018-19","Marital Status","Divorced","71.3","8700"
"Seasonal Influenza","States","Tennessee","2017-18","Marital Status","Divorced","71.7","8589"
"Seasonal Influenza","States","Tennessee","2016-17","Marital Status","Divorced","72.5","8373"
"Seasonal Influenza","States","Tennessee","2015-16","Marital Status","Divorced","73.2","8118"
"Seasonal Influenza","States","Tennessee","2014-15","Marital Status","Divorced","73.3","7783"
"Seasonal Influenza","States","Tennessee","2013-14","Marital Status","Divorced","75.0","7498"
"Seasonal Influenza","States","Tennessee","2005-06","Sex","Male","68.9","16567"
"Seasonal Influenza","States","Tennessee","2020-21","Sex","Female","74.2","29636"
"Seasonal Influenza","States","Tennessee","2019-20","Sex","Female","74.0","35592"
"Seasonal Influenza","States","Tennessee","2018-19","Sex","Female","74.2","35927"
"Seasonal Influenza","States","Tennessee","2017-18","Sex","Female","74.8","36648"
"Seasonal Influenza","States","Tennessee","2016-17","Age","18-24 Years","39.5","76"
"Seasonal Influenza","States","Tennessee","2015-16","Age","18-24 Years","52.5","61"
"Seasonal Influenza","States","Tennessee","2014-15","Age","18-24 Years","50.9","53"
"Seasonal Influenza","States","Tennessee","2013-14","Age","18-24 Years","60.0","45"
"Seasonal Influenza","States","Tennessee","2012-13","Age","18-24 Years","63.0","46"
"Pneumococcal","States","Tennessee","2014","Race and Ethnicity","Asian, Non-Hispanic","76.8","112"
"Pneumococcal","States","Tennessee","2013","Race and Ethnicity","Asian, Non-Hispanic","76.8","112"
"Pneumococcal","States","Tennessee","2012","Race and Ethnicity","Asian, Non-Hispanic","76.9","117"
"Pneumococcal","States","Tennessee","2011","Race and Ethnicity","Asian, Non-Hispanic","76.0","104"
"Pneumococcal","States","Tennessee","2010","Race and Ethnicity","Asian, Non-Hispanic","54.5","11"
"Pneumococcal","States","Tennessee","2020","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","50.0","34"
"Pneumococcal","States","Tennessee","2019","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","66.7","48"
"Pneumococcal","States","Tennessee","2019","Age","65-74 Years","64.9","20385"
"Pneumococcal","States","Tennessee","2018","Age","65-74 Years","66.4","20021"
"Pneumococcal","States","Tennessee","2017","Age","65-74 Years","69.1","19851"
"Pneumococcal","States","Tennessee","2016","Age","65-74 Years","69.4","19619"
"Pneumococcal","States","Tennessee","2015","Age","65-74 Years","71.5","19051"
"Pneumococcal","States","Tennessee","2020","Age","55-64 Years","53.5","8532"
"Pneumococcal","States","Tennessee","2006","Age","65-74 Years","67.1","12588"
"Pneumococcal","States","Tennessee","2019","Age","55-64 Years","55.4","9737"
"Pneumococcal","States","Tennessee","2018","Age","55-64 Years","56.5","9630"
"Pneumococcal","States","Tennessee","2017","Age","55-64 Years","58.0","9553"
"Pneumococcal","States","Tennessee","2016","Age","55-64 Years","58.8","9712"
"Pneumococcal","States","Tennessee","2013","Age","65-74 Years","76.8","17393"
"Pneumococcal","States","Tennessee","2012","Age","65-74 Years","78.3","16231"
"Pneumococcal","States","Tennessee","2011","Age","65-74 Years","79.5","15008"
"Pneumococcal","States","Tennessee","2010","Age","65-74 Years","79.7","14241"
"Pneumococcal","States","Tennessee","2009","Age","65-74 Years","80.9","13935"
"Pneumococcal","States","Tennessee","2008","Age","65-74 Years","79.4","13280"
"Pneumococcal","States","Tennessee","2007","Age","65-74 Years","75.3","12814"
"Seasonal Influenza","States","Tennessee","2020-21","Race and Ethnicity","White, Non-Hispanic","73.8","39990"
"Seasonal Influenza","States","Tennessee","2019-20","Race and Ethnicity","White, Non-Hispanic","74.4","47879"
"Seasonal Influenza","States","Tennessee","2018-19","Race and Ethnicity","White, Non-Hispanic","74.3","48749"
"Seasonal Influenza","States","Tennessee","2017-18","Race and Ethnicity","White, Non-Hispanic","74.9","49138"
"Seasonal Influenza","States","Tennessee","2016-17","Race and Ethnicity","White, Non-Hispanic","76.1","49199"
"Seasonal Influenza","States","Tennessee","2015-16","Race and Ethnicity","White, Non-Hispanic","77.1","49165"
"Seasonal Influenza","States","Tennessee","2014-15","Race and Ethnicity","White, Non-Hispanic","77.7","49371"
"Pneumococcal","States","Tennessee","2015","Age","55-64 Years","61.3","9176"
"Seasonal Influenza","States","Tennessee","2013-14","Race and Ethnicity","White, Non-Hispanic","78.5","47830"
"Seasonal Influenza","States","Tennessee","2012-13","Race and Ethnicity","White, Non-Hispanic","79.0","48597"
"Seasonal Influenza","States","Tennessee","2011-12","Race and Ethnicity","White, Non-Hispanic","80.5","47221"
"Seasonal Influenza","States","Tennessee","2010-11","Race and Ethnicity","White, Non-Hispanic","78.6","47223"
"Seasonal Influenza","States","Tennessee","2009-10","Race and Ethnicity","White, Non-Hispanic","81.7","47582"
"Seasonal Influenza","States","Tennessee","2008-09","Race and Ethnicity","White, Non-Hispanic","82.3","46557"
"Seasonal Influenza","States","Tennessee","2007-08","Race and Ethnicity","White, Non-Hispanic","81.2","46173"
"Pneumococcal","States","Tennessee","2007","Education","Advanced Degree","76.1","1289"
"Pneumococcal","States","Tennessee","2008","Age","55-64 Years","71.4","6304"
"Seasonal Influenza","States","Tennessee","2010-11","Sex","Female","78.8","37194"
"Seasonal Influenza","States","Tennessee","2009-10","Sex","Female","82.1","37505"
"Seasonal Influenza","States","Tennessee","2008-09","Sex","Female","82.9","36893"
"Seasonal Influenza","States","Tennessee","2007-08","Sex","Female","81.5","37244"
"Seasonal Influenza","States","Tennessee","2006-07","Sex","Female","79.2","37363"
"Seasonal Influenza","States","Tennessee","2005-06","Sex","Female","75.1","37671"
"Pneumococcal","States","Tennessee","2014","Age","65-74 Years","77.3","18176"
"Pneumococcal","States","Tennessee","2020","Age","65-74 Years","63.2","17499"
"Pneumococcal","States","Tennessee","2006","Age","75-84 Years","71.1","25038"
"Pneumococcal","States","Tennessee","2010","Age","75-84 Years","83.8","25097"
"Pneumococcal","States","Tennessee","2009","Age","75-84 Years","85.0","25067"
"Pneumococcal","States","Tennessee","2008","Age","75-84 Years","83.5","24638"
"Pneumococcal","States","Tennessee","2007","Age","75-84 Years","79.6","24980"
"Pneumococcal","States","Tennessee","2014","Age","55-64 Years","68.3","9083"
"Pneumococcal","States","Tennessee","2013","Age","55-64 Years","68.2","8438"
"Pneumococcal","States","Tennessee","2012","Age","55-64 Years","70.3","7907"
"Pneumococcal","States","Tennessee","2011","Age","55-64 Years","71.7","7486"
"Pneumococcal","States","Tennessee","2010","Age","55-64 Years","71.8","6974"
"Pneumococcal","States","Tennessee","2009","Age","55-64 Years","72.7","6680"
"Seasonal Influenza","States","Tennessee","2020-21","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","52.9","17"
"Seasonal Influenza","States","Tennessee","2005-06","Race and Ethnicity","White, Non-Hispanic","74.8","46343"
"Seasonal Influenza","States","Tennessee","2018-19","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","70.6","17"
"Seasonal Influenza","States","Tennessee","2019-20","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","63.6","22"
"Seasonal Influenza","States","Tennessee","2017-18","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","59.1","22"
"Seasonal Influenza","States","Tennessee","2016-17","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","73.7","19"
"Pneumococcal","States","Tennessee","2007","Age","55-64 Years","67.6","5996"
"Pneumococcal","States","Tennessee","2020","Age","45-54 Years","44.5","2741"
"Pneumococcal","States","Tennessee","2006","Age","55-64 Years","60.0","5998"
"Pneumococcal","States","Tennessee","2019","Age","45-54 Years","48.4","3162"
"Pneumococcal","States","Tennessee","2018","Age","45-54 Years","49.1","3132"
"Pneumococcal","States","Tennessee","2017","Age","45-54 Years","51.3","3154"
"Pneumococcal","States","Tennessee","2016","Age","45-54 Years","53.1","3341"
"Seasonal Influenza","States","Tennessee","2006-07","Race and Ethnicity","White, Non-Hispanic","78.8","46356"
